Sno, songs,singer,lyrics,genri,album
52,Subhanallah,Pritam Chakraborty,"Ek din kabhi jo khud ko taraashe
Meri nazar se tu zara, haaye re

Aankhon se teri kya kya chhupa hai
Tujhko dikhaaun main zara, haaye re
Ik ankahi si daastaan daastaan
Kehne lagega aaina Subhanallah…


Jo ho raha haim pehli dafaa hai wallah
Aisa hua, Subhanallah..
Jo ho raha hai pehli dafaa hai wallah

Aisa hua


Meri khamoshi se baatein chun lena
Unki dori se taarifein bun lena
Meri khamoshi se baatein chun lena
Unki dori se taarifein bun lena

Kal nahi thi jo aaj lagti hoon
Taareef meri hai khaamakha
Tohfa hai tera meri adaa


Ek din kabhi jo khud ko pukaare
Meri zubaan se tu zara, haaye re
Tujh mein chhupi si jo shayari hai
Tujhko sunaaun main zara, haay re
Ye do dilon ka waasta waasta
Khul ke bataaya jaaye naa

Subhanallah…
Jo ho raha hai, pehli dafaa hai Wallah
Aisa hua.. Subhanallah
Jo ho raha hai, pehli dafaa hai Wallah
Aisa hua.. SUBHANALLAH
Jo ho raha hai, pehli dafaa hai Wallah
Aisa hua.. Subhanallah
Jo ho raha hai, pehli dafaa hai Wallah

Aisa hua..",,
53,Challa,A. R. Rahman,"Challa ki labh daa phirey
Challa ki labh daa phirey
Yaaron main ghar kehdaa
Lokan ton puchdaa phirey
Challa hansda phirey
Challa rounda phirey
Challa gali gali ruldaa phirey
Challe tu sab daa
Challe tera koi nahi
Challa gali gali rul daa phirey
Challa ki labh daa phirey
Challa ki labh daa phirey
Yaaron main ghar kehdaa
Lokan ton puchdaa phirey
Challa ki labh daa phirey
Rang satrangi de bulbula di boli
Dhoop de pairi chale, chhavan ni lay dolee
Rang satrangi rangi de, bulbula di di bolee
Dhoop de pairi chale, chhavan ni lai lai dolee
Hun kaale kaale badaalan ch chand labh daa
Goongiyan hawa va diyaan waaja soon da
Yaaro aas paas wasdaa aiy yaar mera
Dikhdaa ni ohdiyaan khusbuaan sunghdaa
O Challa ki labh daa phirey..
Challa ki labh daa phirey
Yaaron main ghar kehdaa
Lokan ton puchdaa phirey
Challa ki labh daa phirey
Naa visaal hoya kadi na judaai hoi
Ishq de qaidi ki naa rihaai hoi
Lokon sufne ch milne daa wadaa usda
Saari saari raat naa ankh lagdi
Mere saa vee thode thode ghhat aaunde
Meri nabz vee thodi ghat wajdi
Challa ki labh daa phirey
Challa ki labh daa phirey
Yaaron main ghar kehda
Lokan ton puchdaa phirey
Challa hansda phirey
Challa rounda phirey
Challa gali gali ruldaa phirey
Challe tu sub daa
Challe tera koi nahi
Challa galee galee rul daa phirey
Challa Challa ki labh daa phirey
Challa ki labh daa phirey
Challa ki labh daa phirey",,
54,Tu Chahiye,Atif Aslam | Pritam,"Haal a dil ko sukoon chahiye
Poori ek arzoo chahiye
Jaise pehle kabhi
Kuch bhi chaaha nahi
Vaise hii yuin chahiye


Dil ko teri... Maujoodgi
Ka ehsas yuin chahiye
Tu chahiye, tu chahiye
Sham o subaah tu chahiye
Tu chahiye, tu chahiye
Har martabah tu chahiye
Jitni dafa zid ho meri
Utni dafa tu chahiye..Ho.o.o.o


Koi aur duja kyun mujhe
Na tere siva chahiye
Har safar mai mujhe
Tu hi rehnuma chahiye
Jeene ko bass mujhe
Tu hi meharban chahiye Ho.o.o.o

Seene me agar tu dard hain
Na koi dawa chahiye
Tu lahou ki tarah
Rago mein rava chahiye
Anjaam jo chaahe mera
Wooo.. Aagaz yon chahiye


Tu chahiye, tu chahiye
Sham o subaah tu chahiye
Tu chahiye, tu chahiye
Har martabah tu chahiye

Jitni dafa zid ho meri
Utni dafa tu chahiye..Ho.O.O.O

Mere zakhmoko teri chuhan chahiye
Meri shamma ko teri agan chahiye
Mere khawab ke aashyane me tu chahiye
Main kholo jo ankhe sirhane v tu chahiye
Ho.O.O.O Ho.O.O.O Ho.O.O.O Ho.O.O.O",,
55,Yeh Tune Kya Kiya,Pritam,"Ye Tune Kya Kiya Lyrics
Ishq woh bala hai
Ishq woh bala hai
Jisko chhuaa isne woh jala hai
Dil se hota hai shuru
Dil se hota hai shuru
Par kambakht sar pe chadha hai
Kabhi khud se, kabhi khuda se
Kabhi zamaane se lada hai
Itna hua badnaam phir bhi
Har zubaan pe ada hai

Ishq ki.. saazishein
Ishq ki.. baaziyaan
Haara main khel ke

Do dilon ka juaa

Kyun tune meri fursat ki
Kyun dil mein itni harqat ki
Ishaq mein itni barqat ki
Ye tune kya kiya..

Phiru ab maara maara main
Chaand se bichhda taara main
Dil se itna kyun haara main
Ye tune kya kiya..

Saari duniya se jeet ke
main aaya hoon idhar
Tere aage hi main haara
kiya tune kya asar

Main dil ka raaz kehta hoon
Ke jab jab saansein leta hoon
Tera hi naam leta hoon

Ye tune kya kiya


Meri baahon ko teri saanson ki jo
Aadatein lagi hain waisi
Jee leta hoon ab main thoda aur

Meri dil ki ret pe
Aankhon ki jo pade parchhai teri
Pee leta hoon tab main thoda aur


Jaane kaun hai tu meri
Main naa jaanu ye magar
Jahaan jaaun main karoon main wahaan
Tera hi zikar


Mujhe tu raazi lagti hai
Jeeti hui baazi lagti hai
Tabiyat taazi lagti hai
Ye tune kya kiya

Main dil ka raaz kehta hoon
Ke jab jab saansein leta hoon
Tera hi naam leta hoon

Ye tune kya kiya


Dil karta hai, teri baatein sunu
Saude main adhoore chunu
Muft ka hua ye faayda
Kyun khud ko main barbaad karoon
Fanaa hoke tunhse miloon
Ishq ka ajab hai qaayda
Teri raahon se jo guzri hain meri dagar
Main aage badh gaya hoon
thoda hoke be-fikar


Kaho toh, kis se marzi loon
Kaho toh, kis ko arzi doon
Hansta ab thoda farzi hoon
Ye tune kya kiya

Main dil ka raaz kehta hoon
Ke jab-jab saansein leta hoon….


Ishq ki.. saazishein
Ishq ki.. baaziyaan
Haara main khel ke
Do dilon ka juaa",,
56,Bulleya,"Irshad Kamil, Papon","Kuch rishton ka namak hi doori hota hai

Na milna bhi bahut zaroori hota hai


Tu baat kare ya na mujhse
Chahe aankhon ka pegaam na le
Par ye mat kehna are o pagle
Mujhe dekh na tu, mera naam na le


Tujhse mera deen dharam hai,
Mujhse teri khudai
Tujhse mera deen dharam hai,
Mujhse teri khudai


Tu bole toh ban jaaun
Main Bulleh Shah saudai
Main bhi naachun..
Main bhi naachun manau sohne yaar ko
Chalun main teri raah bulleya
Main bhi naachun rijhaun sohne yaar ko

Karun na parwah Bulleya


Maana apna ishq adhura
Dil na ispe sharminda hai
Poora hoke khatam hua sab

Jo hai aadha wo hi zinda hai

Ho bethi rehti hai umeedein
Tere ghar ki dehlizon pe
Jiski na parwaaz khatam ho
Dil ye mera wahi parinda hai…

Bakshe tu jo pyaar se mujhko
Toh ho meri rihaai
Bakshe tu jo pyaar se mujhko
Toh ho meri rihaai


Tu bole toh ban jaaun
Main Bulleh Shah saudai
Main bhi naachun..
Main bhi naachun manau sohne yaar ko
Chalun main teri raah Bulleya
Main bhi naachun rijhaun sohne yaar ko
Karun na parwah Bulleya

Tu yaad kare ya na mujhko
Mere jeene mein andaaz tera
Sar aankhon par hai teri naaraazi
Meri haar mein hai koi raaz tera


Shayad meri jaan ka sadka
Maange teri judaai
Shayad meri jaan ka sadka
Maange teri judaai


Tu bole toh ban jaaun
Main Bulleh Shah saudai
Main bhi naachun..
Main bhi naachun manau sohne yaar ko
Chalun main teri raah Bulleya
Main bhi naachun rijhaun sohne yaar ko
Karun na parwah Bulleya

Kuch rishton ka namak hi doori hota hai
Na milna bhi bohat zaroori hota hai",,
57,Jag Ghoomeya,"Rahat Fateh Ali Khan, Vishal-Shekhar","Ooo..

Na wo akhiyan roohani kahi
Na wo chehra noorani kahi,
Kahi dil wali baatein bhi na,
Na woh sajri jawani kahi,

Jag ghumeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,

Na to hasna rumani kahi,
Na to kushboo suhani kahi,
Na wo rangili aadayein dekhi,
Na wo pyaari si naadani kahi,

Jaisi tu hai waisi rehna,

Jag ghumeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,

Jag ghumeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,

Baarishon ke mausmon ki,
Bheegi haryali tu,
Sardiyon mein gaalon pe jo,
Jo aati hai woh laali tu,

Raaton ka sukoon..
Raaton ka sukoon bhi hai,
Subah ki azaan hai,

Chaahton ki chaadron mein,
Maine hai sambhali tu,

Kahi agg jaisi jalti hai,
Bane barkha ka paani kahi,
Kabhi mann jaana chupke se,
Yun hi apni chalani kahi,

Jaisi tu hai waisi rehna,

Jag ghumeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,

Apne naseebon mein ya,
honsle ki baaton mein,
Sukhon aur dukhon wali,
Saari saugaton mein,

Sang tujhe rakhna hai..
Sang tujhe rakhna hai tune sang rehna,
Meri duniyan mein bhi
mere jazbaaton mein,

Teri milti nishani kahi,
Jo hai sab ko dikhani kahi,
Tu toh jaani hai marke bhi,
Mujhe aati hai nibhani kahi,

Wohi karna jo hai kehna,

Jag ghoomeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,

Jag ghoomeya thare jaisa na koi,
Jag ghoomeya thaare jaisa na koi,",,
58,Dil Diyan,"Atif Aslam, Vishal-Shekhar","Kachchi doriyon doriyon doriyon se
Mainu tu baandh le
Pakki yaariyon yaariyon yaariyon mein
Aunde na faasle

Eh narazgi kaagzi saari teri
Mere sohneya sun lai meri


Dil diyan gallan
Karange naal naal beh ke
Akh naal akh nu mila ke
Dil diyan gallan haye
Karange roz roz beh ke
Sachiyan mohabbtan nibha ke


Sataye mainu kyun
Dikhaye mainu kyun
Aivein jhoothi moothi
Russ ke russa ke


Dil diyan gallan
Karange naal naal beh ke

Akh naal akh nu mila ke


Tainu rakhan ton chhupa ke
Rakhan Ankh te saja ke Tu ae meri wafa
Rakh apna bana ke
Main teri laiyan, teri laiyan yaara
Na baawein kade dooriyan

Tainu rakhan ton chhupa ke
Rakhan Ankh te saja ke Tu ae meri wafa
Rakh apna bana ke
Main teri laiyan, teri laiyan yaara
Na baawein kade dooriyan


Main jeena haan tera
Main jeena haan tera
Tu jeena hai mera
Dass laina kee nakhra dikha ke


Dil diyan gallan
Karange naal naal beh ke
Akh naal akh nu mila ke
Dil diyan gallan


Rata Kaliyan Kaliyan Kaliyan ve
mere dil saware
mere haniya haniya haniya je
lag tu na gale
mera asma mousma di na sune
koi khwab na pura bane

dil diyan gallan
Karange naal naal beh ke
Akh naal akh nu mila ke

Pata hai mainu kyu
choopake dekhe tu
mere naam se naam milake

dil diyan gallan
Karange naal naal beh ke
Akh naal akh nu mila ke

dil diyan gallan",,
59,Tere Sang Yaara, Atif Aslam | Manoj M,"Tere sang, yaara,
Khush rannng, bahara…,
Tu raaaaat, diwani…~,
Main zard, sitaraaaa,


O karam khudaya hai,
Tujhe mujhse milaya hai..,
Tujhpe mar ke hi toh…,
Mujhe jeena aaya hai..,

O tere sang yaara,
Khush rang bahara,
Tu raat deewani,
Main zard sitara,

O tere sang yara,
Khush rang bahara,
Main tera ho jaun,
Jo tu karde ishaara,

Kahin kisi bhi galli mein jaun main,
Teri khushboo se takraun main,
Har raat jo aata hai mujhe,
Wo khwab tu,

Tera mera milna dastoor hai,
Tere hone se mujh mein, noor hai,
Main hoon soona sa , ek aasman,
Mehtaab tu,

O karam khudaya hai,
Tujhe maine jo paaya hai,
Tujhpe mar ke hi toh,
Mujhe jeena aaya hai,

O tere sang yaara,
Khush rang bahara,
Tu raat deewani,
Main zard sitara,

O tere sang yara,
Khush rang bahara,
Tere bin ab toh,
Na jeena gavara,

Maine chode hain baaki saare raste,
Bas aaya hoon tere pass re,
Meri ankhon mein tera naam hai,
Pehchan le,

Sab kuch mere liye tere, baad hai,
Sau baaton ki, ek baat hai,
Main na jaunga kabhi tujhe chod ke,
Ye jaan le,

O karam khudaya hai,
Tera pyar jo paaya hai,
Tujhpe mar ke hi toh,
Mujhe jeena aaya hai,

O tere sang yaara,
Khush rang bahara,
Tu raat deewani,
Main zard sitara,

O tere sang yaara,
Khush rang bahara,
Main behta musafir,
Tu thehra kinara.",,
60,Soch Na Sake,"Arijit Singh, Tulsi Kumar","Tenu itna main pyaar karaan
Ek pal vich sau baar karaan
Tu jaave je mainu chhad ke
Maut da intezaar karaan

Ke tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Ke tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Kuch bhi nahi hai ye jahaan
Tu hai toh hai isme zindagi

Kuch bhi nahi hai ye jahaan
Tu hai toh hai isme zindagi
Ab mujhko jaana hai kahaan
Ke tu hi safar hai aakhiri

Ke tere bina jeena mumkin nahin
Na dena kabhi mujhko tu faasley
Main tujhko kitna chahti hoon
Ye tu kabhi soch na sake

Tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Aankhon ki hai yeh khwahishein
Ki chehre se teri na hatein
Neendon mein meri bas tere
Khwabon ne li hai karwatein

Ki teri ore mujhko leke chalein
Ye duniya bhar ke sab raaste
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake.
",,
61,Tum Jo Aaye,"Rahat Fateh Ali Khan,Tulsi Kumar, Pritam","Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein.

Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Ishq Mazhab, Ishq Meri Zaat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein.
Ho Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Sapne Teri Chahaton Ke, Sapne Teri Chahaton Ke

Dekhti Hoon Ab kayi

Din Hai Sona Aur Chaandi Raat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Chahaton Ka Mazaa, Faasalon Mein Nahin

Aa Chupa Loon Tumhein Hauslon Mein Kahin

Sab Se Upar Likha, Hai Tere Naam Ko

Khwaishon Se Jude Silsilon Mein Kahin

Khwaishein Milne Ki Tumse, Khwaishein Milne Ki Tumse

Roz Hoti Hai Nayi

Mere Dil Ki Jeet Meri Baat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Zindagi Bewafa Hai Yeh Maana Magar

Chod Kar Raah Mein Jaouge Tum Agar

Cheen Launga Main Aasman Se Tumhein

Soona Hoga Na Yeh, Do Dilon Ka Nagar

Raunke Hain Dil Ke Dar Pe, Raunke Hain Dil Ke Dar Pe

Dhadkane Hain Surmayi

Meri Kismat Bhi Tumhari, Saath Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Ishq Mazhab, Ishq Meri Zaat Ban Gayi

Sapne Teri Chahaton Ke, Sapne Teri Chahaton Ke

Dekhti Hoon Ab kayi

Din Hai Sona Aur Chaandi Raat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi.

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein",,
62,Pee Loon,Pritam,"Pee Loon Tere Neelay Neelay Nainon Se Shabnam

Pee Loon Tere Geelay Geelay Hoto Ki Sargam

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko
Tere Sang Bekraari Hai

Tere Bin Jee Nahi Lagda, Tere Bin Jee Nahi Sakda

Tujhpe Hai Haare Maine Vaare Do Jahan, Kurbaan, Meharbaan, Ke Main Toh Kurbaan

Sun Le Zara, Tera Kurbaan

Hosh Mein Rahun Kyun Aaj Main

Tu Meri Baahon Mein Simti Hai, Mujh Mein Samayi Hai Yun

Jis Tarah Ki Koi Hum Nadi, Tu Mere Seenay Mein Chupti Hai Sagar Tumhara Main Hoon

Pee Loon Teri Dheemi Dheemi Lehron Ki Cham Cham

Pee Loon Teri Saundi Saundi Saanson Ko Har Dum

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Shaam Ko Milun Jo Main Tujhe

Toh Bura Subah Na Jaane Tu Kuch Maan Jaati Hai Yeh

Har Lamha, Har Gadi Har Pehar

Hi Teri Yaadon Se Tadpa Ke Mujhko Jalati Hai Yeh

Pee Loon Main Dheere Dheere Jalne Ka Yeh Gumm

Pee Loon Inn Gore Gore Haanthon Se Hum Dum

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Bin Jee Nahi Lagda, Tere Bin Jee Nahi Sakda

Tujhpe Hai Haare Maine Vaare Do Jahan, Kurbaan, Meharbaan, Ke Main Toh Kurbaan

Sun Le Zara, Tera Kurbaan",,
63,Teri Jhuki Nazar,"Pritam, Shafqat Amanat Ali","Chahe kuchh na kehnaa
Bhaley chup too rehnaa
Mujhe hai pataa, tere pyaar ka
Khaamosh chehra, aankhon pe pehra
Khud hai gawah, tere pyaar ka
Teri jhuki najar, teri har adaa
Mujhhe keh rahi hai yeh daastaan
Koi shakhs hai, joh ki in dino
Tere zehen-o-dil pe hai cha gayaa
Teri jhuki najar, teri har adaa
Mujhe keh rahi hai yeh dastaan
Teri zulf jab bhee bikhar jati hai
Ae haseen too haseen aur ho jati hai
Jo kitabon mein padhhte rahe aaj tak
Wo pari hamko tujhme nazar aati hai
Teri hi baaho me, panahon me
Rehna mujhe hardam sadaa
Teri hi yaado me, nigaho me
Rehna mujhe har dam sada
Teri hi baaho me, panahon me
Rehna mujhe hardam sadaa
Hardam sadaa",,
64,Tu Hi Mera,"Pritam, Shafqat Amanat Ali","Tu Hi Mera ...

Tu Hi Mera Saara... Jahaan Hain

Tu Hi Mere Rabb Ki... Tarha Hain

Tu Hi Mera Saara... Jahaan Hain

Tu Hi Mere Rabb Ki... Tarha Hain

(Tarha Hain Tarha Hain Tarha Hain Tarha Hain)

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...)   (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain (x2)

Kahiin Tere Dil Ki Panaahon Me

Maine Paaya Mujhe Teri Chaahon Me

Jaise Loban Jalta Ho Har Pal Kahiin

Meri Khwaahish Me Yoon Tuu Jalaa Hain......

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...)  (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain

Bepanaah Main Tujhko Chaahta Hoon

(Tujhko Chaahta Hoon)

Tu Hi Hain Mere Dil Ka Sukoon

Tu Dikhe Hain Mujhko Chaarsoon

(Mujhko Chaarsoon)

Main Tujhe Hi Faqat Dhoondta Hoon

Tu Hi Dil Ki Aarzoo

(Arzoo Arzoo)

Dil Toh Mera Yeh Yeh Aksar Kare

Door Tujhse Na Ik Pal Rahoon

Teri Parchaiyee Bhi Hain Bohot Dilnashi

Tu Hasaa Toh Yeh Aalam Hasaa Hain

Jo Lafzon Me Tune Buna Hain

(Buna Hain Buna Hain)

Woh Haseen Pyaar Ka Silsila Hain

Jo Aankhon Me Teri Likha Hain

Woh Aankhon Se Maine Padha Hai

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain

Kahiin Tere Dil Ki Panaahon Me

Maine Paaya Mujhe Teri Chaahon Me

Jaise Loban Jalta Ho Har Pal Kahiin

Meri Khwaahish Me Yoon Tuu Jalaa Hain......

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...) (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain (x2)",,
65,Tera Deedar Hua,Pritam,"Yoon tera muskurana, aur aake chale jaana
Kismat ka hai khul jaana
Tera Deedar Hua,
pehla sa pyar hua
Pehli hi baar hua iss dil ko
Na to inkaar hua
Na hi iqraar hua
Jaane kya yaar hua iss dil ko
Tujhse mila toh jaagi duaayein
Aur nazar ne sajda kiya
Jannat zameen par aayi utar ke
Khushiyon ne jaise chun sa liya
Har manzar dilnasheen hai
Tu hi tu har kahin hai
Oh.. teri ye adayein toh hain qatilana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko
Tere bina tanha tha har pal
Hothon pe hardam thi tishnagi
Maqsad nahi tha, sapne nahi thay
Thi zindagi mein aawargi
Tu mera rehnuma hai
Manzil hai raasta hai
O mere liye tu toh jaise rab ka hai nazrana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko
Yun tera muskurana aur aake chale jaana
Yun tera muskurana aur aake chale jaana
Kismat ka hai khul jaana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko",,
66,Tu Hi Haqeeqat,Pritam|Javed Ali|Shadab,"Tu hi haqeeqat khwaab tu
Dariya tu hi pyaas tu
Tu hi dil ki bekarari
Tu sukoon tu sukoon

Jaoon main ab jab jiss jagah
Paoon main tujhko uss jagah
Saath hoke na ho tu hai
Rubaroo rubaroo


Tu humsafar tu humkadam tu humnawah mera

Tu humsafar tu humkadam tu humnawah mera


Aa tujhe inn baahon mein bhar ke
Aur bhi kar loon main kareeb
Tu juda ho toh lage hai
Aata jaata har pal ajeeb
Iss jahaan mein hai aur na hoga
Mujhsa koi bhi khush naseeb
Tune mujhko dil diya hai
Main hoon tere sabse kareeb


Main hi toh tere dil mein hoon
Main hi toh saanson mein basoon
Tere dil ki dhadkanon mein
Main hi hoon main hi hoon

Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Ohhooo…

Kab bhala ab ye waqt guzre
Kuch pata chalta hi nahi

Jabse mujhko tu mila hai
Hosh kuch bhi apna nahi
Uff ye teri palken ghani si
Chaanv inki hai dilnasheen
Ab kise dar dhoop ka hai
Kyunki hain ye mujhpe bicchi


Tere bina na saans loon
Tere bina na main jiyun
Tere bina na ek pal bhi
Reh sakoon reh sakoon

Tu hi haqeeqat khwaab tu
Dariya tu hi pyaas tu
Tu hi dil ki bekarari
Tu sukoon tu sukoon

Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera",,
